country;country_id
Switzerland;0
Iceland;1
Denmark;2
Norway;3
Canada;4
Finland;5
Netherlands;6
Sweden;7
New Zealand;8
Australia;9
Israel;10
Costa Rica;11
Austria;12
Mexico;13
United States;14
Brazil;15
Luxembourg;16
Ireland;17
Belgium;18
United Arab Emirates;19
United Kingdom;20
Oman;21
Venezuela;22
Singapore;23
Panama;24
Germany;25
Chile;26
Qatar;27
France;28
Argentina;29
Czechia;30
Uruguay;31
Colombia;32
Thailand;33
Saudi Arabia;34
Spain;35
Malta;36
Kuwait;37
Suriname;38
El Salvador;39
Guatemala;40
Uzbekistan;41
Slovakia;42
Japan;43
South Korea;44
Ecuador;45
Bahrain;46
Italy;47
Bolivia;48
Moldova;49
Paraguay;50
Kazakhstan;51
Slovenia;52
Lithuania;53
Nicaragua;54
Peru;55
Belarus;56
Poland;57
Malaysia;58
Croatia;59
Libya;60
Russia;61
Jamaica;62
North Cyprus;63
Cyprus;64
Algeria;65
Kosovo;66
Turkmenistan;67
Mauritius;68
Estonia;69
Indonesia;70
Vietnam;71
Turkey;72
Kyrgyzstan;73
Nigeria;74
Bhutan;75
Azerbaijan;76
Pakistan;77
Jordan;78
Montenegro;79
China;80
Zambia;81
Romania;82
Serbia;83
Portugal;84
Latvia;85
Philippines;86
Somaliland region;87
Morocco;88
Macedonia;89
Mozambique;90
Albania;91
Bosnia and Herzegovina;92
Lesotho;93
Dominican Republic;94
Laos;95
Mongolia;96
Swaziland;97
Greece;98
Lebanon;99
Hungary;100
Honduras;101
Tajikistan;102
Tunisia;103
Bangladesh;104
Iran;105
Ukraine;106
Iraq;107
South Africa;108
Ghana;109
Zimbabwe;110
Liberia;111
India;112
Sudan;113
Haiti;114
Nepal;115
Ethiopia;116
Sierra Leone;117
Mauritania;118
Kenya;119
Djibouti;120
Armenia;121
Botswana;122
Myanmar;123
Georgia;124
Malawi;125
Sri Lanka;126
Cameroon;127
Bulgaria;128
Egypt;129
Yemen;130
Angola;131
Mali;132
Comoros;133
Uganda;134
Senegal;135
Gabon;136
Niger;137
Cambodia;138
Tanzania;139
Madagascar;140
Central African Republic;141
Chad;142
Guinea;143
Ivory Coast;144
Burkina Faso;145
Afghanistan;146
Rwanda;147
Benin;148
Syria;149
Burundi;150
Togo;151
Puerto Rico;152
Belize;153
Namibia;154
South Sudan;155
Northern Cyprus;156
North Macedonia;157
Gambia;158
